pr_gene_symbol	CPC020_MCF7_24H:BRD-A07780951-065-05-0:10
CDK6	-0.0163
PSMB10	-0.2615
FOSL1	0.1927
E2F2	-1.2467
CRK	0.4788
HSPA8	-0.3835
CCNB1	0.0548
NFATC3	0.4906
PCNA	-1.3376
PSMB8	-0.7178
PRKCQ	-0.5862
SUV39H1	-0.0441
BIRC2	-0.7761
PAK1	0.1971
CDC42	0.4614
CCNE2	0.7916
SNAP25	0.6072
PGAM1	1.0932
NCK1	-0.2109
CD40	-0.2419
DAXX	0.1575
CDC20	0.5656
CCL2	0.0230
SRC	-0.0888
BMP4	0.9636
MNAT1	0.3466
TLR4	-0.6750
IKZF1	-2.3805
EPHA3	1.0651
CASP10	-0.4889
CASP7	1.6909
TGFBR2	-0.5730
NOTCH1	0.4468
SHC1	-0.4832
SIRT3	0.3049
CYCS	-0.2069
GNAI1	-1.3405
FBXO11	0.4567
MEF2C	-0.5701
DUSP3	0.0278
PPP1R13B	0.0481
PRKCH	-0.1981
CCNA1	-0.5320
BAX	0.3637
RPS5	0.0262
SNCA	0.7021
CHP	0.0039
SPP1	-1.2645
AXIN1	0.3098
CASP2	-0.3781
FZD7	0.3046
DUSP6	0.2687
ADRB2	-0.0692
MMP1	0.5477
CDC25B	0.6949
EPHB2	-0.0184
CHEK1	0.0741
PDGFA	-0.1393
CXCL2	-0.0135
HLA-DRA	-0.1302
GNA15	-0.4629
RALGDS	-0.3799
SATB1	-0.1578
PFKL	0.5757
GRB7	-0.2862
MAPKAPK2	-0.1232
MKNK1	0.3483
HSPA1A	0.1944
PLCB3	-0.0286
PLK1	0.5713
MYLK	0.2505
FGFR4	0.4756
CDKN2A	-1.7865
CDKN1B	-0.2696
GAPDH	0.1617
CISD1	0.1183
SPDEF	0.1098
IGF1R	0.7103
GSTM2	0.2023
SPTLC2	0.7080
TSKU	0.3737
TMEM2	0.2420
SLC2A6	-0.7405
EZH2	-0.2171
ICAM3	0.1399
PHKG2	0.0730
KDM5B	0.1410
COG4	0.9012
MCM3	0.2299
SNX13	-0.8652
PAK4	0.2615
DPH2	0.8460
SNX6	0.2946
WIPF2	0.6287
NENF	-0.2958
RPN1	0.1211
C2CD2L	0.1540
GABPB1	0.4495
POLR2K	0.1191
PAF1	1.3593
POLR1C	-0.3899
RUVBL1	0.0075
AKT1	-0.3065
SENP6	1.4130
EBP	1.7264
CASK	-0.2746
RRP8	6.4619
BHLHE40	0.0527
BDH1	0.2468
SH3BP5	0.1972
PPP2R5A	0.0621
EML3	-0.2714
BIRC5	0.2352
EPRS	0.3731
PAX8	0.2027
PDS5A	0.9885
XBP1	-1.4405
NMT1	0.7836
ARFIP2	0.2720
STAMBP	-0.4155
FAH	0.9581
PLP2	-0.4496
SOX4	0.2318
TESK1	-0.5379
HN1L	0.4695
RRAGA	-0.6682
ELOVL6	-0.7523
ACBD3	0.3541
PMAIP1	-0.6911
TWF2	-0.2309
HDAC6	-0.1763
PXN	-0.4352
PHKB	-0.2852
CASC3	0.1266
MLEC	0.1833
USP22	0.2602
TMED10	0.9005
CHERP	0.1260
TRAPPC6A	-0.8309
ATP2C1	-0.1557
USP14	-0.0243
APPBP2	-0.8730
ECH1	-0.1852
HDAC2	0.1868
MRPL19	0.1401
CSNK2A2	-0.9315
KIAA0100	0.4731
PAICS	0.6345
CDK2	0.1317
KIAA0494	-0.2328
WRB	0.2267
ETFB	0.7419
CAMSAP2	-0.1770
ARNT2	0.0412
SPAG7	0.3637
MAPK1IP1L	-0.1028
MSH6	1.0849
UBE2C	0.2864
HS2ST1	0.0004
TXLNA	0.1892
DNAJB1	-0.7626
TOPBP1	0.4607
ABCF1	-0.4784
LGMN	0.8690
MBTPS1	0.2143
ZNF274	0.2847
CLIC4	0.6032
HSD17B10	0.9377
STX1A	-0.2665
CCNA2	0.1335
SDHB	0.0083
FOXO4	-1.3221
TOMM34	0.1069
KIAA0907	-0.4463
HK1	-0.9925
PAPD7	0.2265
PLOD3	0.7831
TRAK2	-0.0120
VAPB	-0.2470
BUB1B	-0.6212
MRPL12	1.1244
PNP	0.7741
USP1	-0.0713
RPA1	0.1714
KLHDC2	-1.0510
SCARB1	-0.0929
TPM1	-0.0246
TM9SF2	0.4791
NUP88	0.1583
FUT1	-0.4789
PRUNE	0.3810
SYPL1	-0.2084
ZNF451	-0.3660
TRIM13	-0.0306
FBXO7	-0.1312
ENOSF1	-0.7827
LIG1	0.7853
GNB5	-0.1813
INSIG1	-0.5307
HIST2H2BE	-0.5738
S100A4	-0.6910
KTN1	-0.0295
ARHGAP1	1.2560
LPAR2	-0.8065
COASY	0.1914
ATMIN	-0.3739
CASP3	0.4244
NISCH	0.2241
CPSF4	0.0340
COPB2	0.0901
GADD45A	-0.5057
SMNDC1	-0.6064
NUDCD3	0.3997
HMGCR	-1.3402
SLC35B1	0.4768
TIMP2	-0.2582
LSM6	-0.0429
SACM1L	0.3314
TCERG1	0.4053
KIAA0196	0.3654
DNM1	-0.4947
DDIT4	-0.7218
ALAS1	0.0969
PAFAH1B1	0.1993
PSRC1	0.5143
RBM15B	-0.0874
TOMM70A	0.2795
CBR1	0.3428
PRKCD	0.5201
JUN	-0.8016
TMEM50A	-1.0841
SCCPDH	-0.4598
TSC22D3	0.2831
TFAP2A	-0.5824
ZNF395	-0.4408
VPS72	0.5321
CLSTN1	-0.5181
MAPK9	-1.5030
POP4	0.1141
NFE2L2	-0.1967
BLCAP	-0.1522
FAM20B	-0.1209
CRKL	0.1605
ZNF318	0.2849
FDFT1	0.5967
TRAP1	0.3733
GTF2A2	0.2702
MTFR1	-0.5292
UBE2A	-0.0877
NIT1	0.2417
SYNGR3	0.0623
STK25	-0.6330
ABCF3	0.1976
FCHO1	0.6874
OXSR1	-0.3766
SMARCC1	0.4649
GLOD4	0.3232
IL4R	-0.0470
KIT	0.2030
PSMG1	0.2325
TMEM97	0.0999
LRRC41	-0.3489
KIAA1279	0.6064
TCEAL4	-0.3398
NUP133	0.3720
NUP62	0.5353
MALT1	0.1457
YKT6	0.3827
KIF2C	-0.0423
NNT	-0.0204
IQGAP1	-0.2864
HSPA4	-0.3920
TOP2A	-0.3101
B3GNT1	1.1466
SCP2	0.0370
RAD9A	0.7290
DRAP1	-0.3325
PCMT1	0.3462
MYC	-0.8771
POLB	-0.6466
CETN3	-0.1326
SMC4	0.3238
SMARCD2	-0.0899
MPZL1	0.0583
EBNA1BP2	0.0356
TATDN2	0.4177
LRPAP1	-0.1505
TBPL1	-0.5292
RAE1	-0.2712
CDK1	-0.2076
SLC35A1	-0.4176
NIPSNAP1	-0.0733
BCL7B	-0.4959
TIMELESS	0.1874
DHX29	0.5183
TCEA2	0.0381
FHL2	-0.3489
FKBP4	-0.7246
KAT6A	-0.0728
MAP3K4	0.2854
ZFP36	0.1470
INPP1	-0.4115
EPB41L2	-0.0717
GNAI2	0.6232
TSTA3	-0.0218
DNMT1	-0.3832
RAB27A	-0.3628
DDR1	0.2897
LPGAT1	-0.7283
DUSP11	-0.7368
TP53BP2	0.8922
CDKN1A	0.6176
TJP1	0.2718
ABCB6	0.6142
MTHFD2	-0.2069
PRAF2	0.0994
DNTTIP2	-0.3231
HTATSF1	0.2916
NCAPD2	-0.0126
TMEM109	0.5172
NUP93	0.4581
PLA2G15	-0.0568
PIP4K2B	0.5066
MYCBP2	-0.1269
PGRMC1	0.7694
AARS	1.1989
GPC1	0.0937
ELAC2	0.4140
PLSCR1	-0.3573
CTSL1	-0.3187
CTSD	-0.3914
ARHGEF2	0.0503
ILK	-0.0601
NFIL3	-0.5413
ARL4C	-0.4848
CPNE3	-0.1998
SCRN1	-0.4373
MAN2B1	0.2797
DCTD	0.0957
MBNL1	0.8028
MYCBP	0.3027
PTPN1	0.6926
BRP44	0.1720
ECD	0.2658
CIRBP	0.1658
PRSS23	0.1274
P4HA2	-0.4297
ATP6V0B	-0.6658
CAPN1	0.8685
STXBP1	-0.0039
ITGB5	0.1898
SLC11A2	-1.1608
PDIA5	1.0067
RAP1GAP	-0.6608
NOLC1	0.3313
CAT	0.1857
DUSP14	0.1032
TRIB1	-0.0524
TP53BP1	0.0300
BECN1	-0.2669
KDELR2	0.1270
ELAVL1	0.6963
IGF2R	-0.4049
TIPARP	-0.0286
CRTAP	-0.2712
GMNN	-0.8075
CYTH1	-0.2027
PRCP	0.2529
SMARCA4	0.3410
PYGL	0.4060
RPA2	-0.0520
GTF2E2	-0.5634
ANXA7	-0.6349
TXNRD1	-0.5031
CRYZ	0.0096
GAA	-0.1324
SKIV2L	-0.0093
BLMH	0.7930
RRP1B	0.0122
TSPAN3	0.1910
KEAP1	0.1243
SMC3	-0.1084
LBR	0.0689
PPIE	-0.1760
TERF2IP	0.0156
BNIP3	-0.0457
BCL2	1.1553
RBM6	-0.3465
CSK	-0.0424
ALDOC	-0.3914
UBE2L6	-0.7709
PCBD1	0.1640
ICMT	0.6249
GNPDA1	-1.0480
NUCB2	-0.0724
RSU1	0.9529
PTPN12	0.0424
PCK2	0.0646
GFPT1	0.4420
BLVRA	0.0352
S100A13	-0.4885
MYBL2	0.7960
STX4	-0.1863
TMCO1	-0.5580
CCDC85B	0.9911
DDB2	-0.4994
BAMBI	-0.4559
HADH	0.1032
GLRX	-1.1060
MVP	0.2450
STMN1	-0.0045
GALE	-0.5617
PTPRF	-0.8980
PGM1	0.1816
LOXL1	0.4773
MYO10	-0.5795
LIPA	0.5015
PHGDH	0.4904
ST7	0.0686
IKBKB	-0.5648
PCM1	0.1881
IER3	0.0248
FAT1	0.0457
RNMT	0.3478
EGFR	0.8507
NET1	0.3326
DECR1	0.0486
NPC1	-0.6621
MEST	-0.3075
PAFAH1B3	-0.0616
CALU	-0.1998
LGALS8	-0.2414
LRP10	-0.2564
ATP1B1	-0.0886
OXCT1	0.2235
SLC25A4	-0.3486
ASCC3	0.2733
TRAM2	1.2833
PYCR1	-0.0997
NCOA3	-0.5878
POLD4	-0.1095
PRKACA	0.1579
LYRM1	-1.3965
VDAC1	1.1112
SORBS3	-0.3529
SPAG4	-0.1220
SLC5A6	-0.1173
RGS2	-0.4562
SCYL3	-0.1701
TBX2	0.3159
DNAJA3	-0.1620
DCUN1D4	0.3298
DYRK3	-0.5125
POLG2	0.5928
TRAPPC3	-0.4719
TCFL5	0.1255
RBM34	-0.0800
ITGB1BP1	0.3057
ACLY	0.9644
RAD51C	0.3140
SMC1A	0.4138
YME1L1	-6.5604
ACAA1	1.4417
WFS1	0.3517
UBE3B	-0.1874
NPDC1	0.0500
ALDH7A1	-1.1717
POLR2I	0.6034
AKAP8L	0.4536
PLEKHJ1	0.6457
HAT1	-0.3491
G3BP1	0.6871
TPD52L2	0.2487
PIH1D1	0.3208
SHB	-0.7395
UTP14A	0.1092
TSEN2	-0.7857
LYPLA1	-0.2862
MAP2K5	-0.3652
PUF60	-0.0446
DHRS7	-1.6926
ARID5B	0.9159
IGHMBP2	0.4042
ADO	-0.1249
TCTN1	-0.2178
AKR7A2	0.0980
PPP2R5E	-6.3897
LAMA3	2.8572
FEZ2	0.0207
IKBKAP	0.2438
SGCB	-0.2582
ENOPH1	0.2077
CNOT4	0.7700
JMJD6	0.6810
SLC35F2	0.5782
ANO10	0.2213
STUB1	0.1185
BAD	2.5084
PSMD10	-0.5094
RAB11FIP2	-0.3730
FPGS	0.1748
RNH1	-0.7973
ATG3	0.0622
CFLAR	-0.1891
HEATR1	0.3315
WDR7	-0.4555
AKAP8	0.9422
SLC1A4	0.1756
GRWD1	0.0190
STAT1	-0.2026
FOXJ3	0.4366
MTERFD1	-0.5080
CHIC2	-0.3441
USP7	0.9287
NOSIP	0.1005
DLD	-0.0433
IDE	0.4566
PRPF4	0.1051
MELK	0.1544
SMAD3	-0.8163
OXA1L	-6.5022
SNX7	-0.1606
CDCA4	0.7058
TBC1D9B	-0.6379
NARFL	6.5323
DDX42	0.2571
IKBKE	-0.3821
WDTC1	-0.0110
PLSCR3	-0.1228
H2AFV	0.3408
NUSAP1	0.1071
FAM69A	-0.4262
XPO7	0.6445
FAIM	-0.7751
PXMP2	0.2986
TIMM17B	-1.4824
STXBP2	-0.7430
HPRT1	-0.1862
RRS1	5.4618
ADAT1	-0.6058
SCAND1	-0.0236
MFSD10	-0.2815
COPS7A	-0.2978
FIS1	0.2701
NUDT9	-0.3235
CSRP1	-0.6040
METRN	0.3688
TCTA	-0.0618
TLK2	-0.0510
KIAA1033	-0.3040
DNAJB6	0.1809
HMGCS1	-0.6944
SPRED2	-0.5828
MAP7	0.5120
CHAC1	0.2329
GNAS	-1.8678
TEX10	0.2060
ZNF586	0.5296
APBB2	0.0678
RNF167	-0.2112
TXNDC9	-0.0273
VGLL4	-0.1322
YTHDF1	0.9494
LSM5	-0.1960
ZMYM2	-0.1889
CHMP6	0.1006
PIGB	-0.0070
CHEK2	0.7322
ACD	-0.0088
SUPV3L1	0.2831
GPATCH8	-0.0470
ARPP19	-0.6050
RTN2	-1.0109
NPEPL1	0.4126
UBQLN2	0.4704
DMTF1	-0.7114
CLPX	0.1236
TXNL4B	-0.1174
PRR15L	0.0601
ST6GALNAC2	-0.5553
ADH5	0.7794
GOLT1B	-0.9330
PPOX	0.3060
CANT1	-0.0180
HOMER2	-0.3470
CLTB	0.5986
PHKA1	0.8335
MAP4K4	2.0878
PAN2	0.0165
PPIC	-0.1714
EIF5	0.2469
TM9SF3	-1.2228
CCDC86	0.2334
SLC25A14	1.0689
TBXA2R	-0.8497
HERPUD1	0.2029
RPL39L	-0.2338
BPHL	-0.3106
MAPKAPK3	0.9241
MBOAT7	0.0572
PNKP	-0.3497
SLC35A3	-0.2346
LSR	0.0520
KDM5A	0.1251
FAM63A	1.7539
RAB4A	-0.1353
IFRD2	0.5222
BACE2	1.5690
LYN	-1.3177
ISOC1	0.5302
MOK	0.2265
DNAJB2	-0.1019
CERK	-0.1439
LAP3	0.3469
MAPKAPK5	-0.9767
HDGFRP3	-0.7696
RAB21	0.5483
PSIP1	-1.8813
CREB1	-0.3325
MBNL2	1.2326
PACSIN3	0.2665
MTA1	-0.1107
MACF1	-0.3372
HIST1H2BK	0.1094
PCCB	0.0633
STAP2	1.9035
PMM2	0.9113
HSD17B11	-0.3889
FBXL12	0.0003
WDR61	0.9578
FAS	-0.4082
CENPE	1.2453
CREG1	1.8037
PRR7	-0.1279
TMEM110	-0.5532
ZNF589	-0.6650
CNDP2	0.2902
TNIP1	-0.6660
P4HTM	-0.2396
REEP5	0.0649
BZW2	0.3698
CGRRF1	-1.0159
AMDHD2	-0.5229
PEX11A	-0.2316
GFOD1	-0.6832
PECR	-0.0935
SOCS2	0.5047
ZDHHC6	0.5433
ITGAE	-0.5426
TMEM5	-0.1359
ATP5S	-0.3619
NGRN	-0.5001
HOXA5	1.5114
GRN	0.5092
NUP85	-0.3000
GTPBP8	-0.3925
PTK2	-0.1670
EPN2	-0.3483
CCDC90A	0.5709
KIAA0528	0.1540
MRPS16	-0.0156
NOL3	0.3423
NR1H2	-0.1388
PLS1	0.9714
DUSP22	-0.1571
RPS6KA1	-0.1748
DCK	-0.4295
TRIM2	-0.4106
VPS28	-0.0724
LRRC16A	0.0686
NR2F6	0.3231
EXOSC4	0.7711
PDLIM1	0.7429
CRELD2	0.0032
RRP12	0.9082
ACAT2	-0.1899
THAP11	2.1860
CEBPD	-0.3741
MAST2	1.1234
DHDDS	-0.3832
GADD45B	-0.9419
KIAA0355	-0.8710
DYNLT3	6.3463
CHMP4A	-0.2825
IPO13	-0.4681
ITFG1	-0.9959
HYOU1	-0.2344
FOS	-0.0045
MCOLN1	6.4236
ID2	2.5153
KCNK1	-0.0388
RAI14	-0.5521
DNAJC15	-0.2783
HOXA10	0.1910
CTNND1	0.0544
ZNF131	-0.2871
HOOK2	-0.1290
ERBB2	0.3261
INTS3	1.2222
RFNG	-0.5756
MICALL1	0.1984
KLHL21	0.2602
TLE1	0.3821
COG2	-0.1939
MRPS2	0.2576
KCTD5	0.2817
CNPY3	1.6012
ADAM10	-0.5979
CD58	-0.6831
KIF5C	-0.2505
HMG20B	0.3012
PIN1	-0.3108
LAGE3	0.6661
TNFRSF21	-0.7040
KIF14	0.1295
CYB561	0.6679
HTRA1	0.0710
WASF3	0.9092
TSPAN6	-0.4585
FBXO21	-0.2123
PPP2R3C	-0.2703
GRB10	-0.5048
ZW10	-0.0923
CORO1A	0.3091
XPNPEP1	0.2252
MAMLD1	0.4058
DSG2	-0.5039
SLC27A3	-0.2306
CD97	0.2277
IL13RA1	-0.6496
AGL	-0.8713
GATA3	-0.0699
RPA3	0.4605
TES	-0.1014
SPR	0.8199
RELB	0.4363
RPIA	0.3970
GPR56	0.2004
NVL	-0.4040
ME2	-0.0402
WDR67	0.7151
RFC2	0.6026
TIMM9	-0.8313
ORC1	-0.4101
PARP2	0.4201
FASTKD5	0.5738
PTPLAD1	-0.1774
MSRA	-0.3194
SYNE2	-0.0502
UBE3C	-1.2862
CCDC92	-0.0400
TIMM22	1.0758
ATF5	0.8065
NSDHL	-0.1099
ADI1	-0.0785
ADCK3	0.2159
GDPD5	-0.2486
TARBP1	-0.0425
RBKS	0.8426
KDM3A	-1.2427
BID	-0.7075
MTF2	-0.0285
PIK3C2B	-0.2394
SLC25A46	-0.7787
CDK19	-0.5358
KIAA0753	4.6690
KAT6B	0.0919
CHN1	0.2365
MAPK13	0.6019
UFM1	-0.1128
IARS2	0.5168
GATA2	-0.5175
NRIP1	-0.5949
CCNB2	-0.2297
RNPS1	-0.5236
ARID4B	-0.9364
GSTZ1	-0.0413
SESN1	-0.5646
SPEN	-0.3307
PDHX	0.0657
DENND2D	-0.2697
CTTN	0.0285
UBR7	-0.3231
CD44	-1.0416
VAV3	-0.3245
ABHD6	-0.4570
CAB39	1.0928
TIAM1	-0.0826
DNM1L	0.0767
DERA	0.4199
PTPRK	-0.1912
HERC6	-0.0291
ACOT9	0.5009
ST3GAL5	-0.5947
CTNNAL1	-0.3007
ABHD4	-0.6092
INPP4B	-0.1244
ZMIZ1	-0.8210
PPARG	-0.1844
RPP38	0.6314
CAST	-0.4408
BAG3	0.2786
GNA11	0.7256
TOR1A	-0.5381
SLC25A13	-0.2339
TSPAN4	0.7814
NR3C1	-0.0102
TRIB3	-0.2347
PHF15	0.0769
CXCR4	-0.4982
FKBP14	-1.0498
CIAPIN1	-0.1600
COG7	-1.0985
TUBB6	-0.4231
ABL1	0.5449
CCNF	0.0338
FAM57A	-0.5275
EVL	0.0265
GPER	-0.2447
EAPP	-0.6558
EXT1	-0.3638
POLE2	-0.2033
C2CD2	2.2372
ANKRD10	0.1087
DDX10	0.5071
CEP57	-0.3831
RAB31	-0.7333
ABCC5	0.6408
RFC5	-0.7255
HES1	0.8901
KLHL9	-0.4991
UBE2J1	0.6730
SLC37A4	-0.4993
NPRL2	0.7254
PWP1	-0.3674
PLEKHM1	-0.1017
VAT1	-0.7380
KIF20A	0.2629
CDH3	0.3895
SSBP2	-0.5276
SNX11	-0.2702
SFN	0.2755
RFX5	0.3031
PKIG	-0.5179
FSD1	-0.2570
ATP6V1D	-0.2252
CDC45	0.1816
EDEM1	-0.9409
USP6NL	-0.3361
NT5DC2	0.0131
CCP110	-0.3635
STK10	0.1245
UGDH	-0.1033
SQRDL	-0.3332
HEBP1	-0.0114
ATP11B	-0.3415
CD320	0.8855
MLLT11	-0.4112
CEBPZ	-0.1731
CBR3	1.3935
