pr_gene_symbol	CPC020_MCF7_24H:BRD-A07780951-065-05-0:10	CPC020_MCF7_24H:BRD-A87848830-001-01-9:10	CPC020_MCF7_24H:BRD-K00664012-001-01-2:10	CPC020_MCF7_24H:BRD-K02562327-001-01-6:10
NCK2	-0.4173	0.9173	-0.3489	-1.1439
AURKA	0.5994	0.9598	-0.4771	-1.7148
CDK5R1	0.1580	0.2840	0.4502	-1.5913
FYN	-0.5284	0.3755	0.0248	1.2138
NRAS	0.1687	-1.2864	-0.7474	-0.6250
BNIP3L	-0.1122	0.2276	0.4461	2.5128
MMP2	-0.3654	-0.2232	-0.3003	0.1338
CDK7	-0.8703	-0.8922	0.3921	-1.1566
RAC2	-0.4805	0.5779	-0.4441	-0.4688
HMOX1	0.2635	-1.2715	2.1011	4.6916
COL4A1	-0.6245	-0.2940	-0.2379	0.4315
ICAM1	-0.6137	1.2942	-0.7543	0.6323
C5	0.0237	0.4030	0.0604	-0.3691
NFKBIA	0.0852	0.9083	0.3494	0.6482
NFKBIE	-0.1835	0.7081	0.0058	-0.4389
CCNH	-0.0990	0.0431	0.1350	-0.4195
HMGA2	-0.2618	0.2871	0.1001	-0.1086
IGFBP3	0.1086	1.1953	-0.6829	-0.0204
FRS2	-0.7349	0.7939	0.0471	0.0061
IFNAR1	-0.0078	0.1145	-0.2734	0.6741
MIF	-0.1556	-0.6549	-0.9849	-1.2383
DAG1	0.7272	-0.4197	1.0727	-0.6174
IGF2BP2	0.2965	0.6224	0.1092	2.7048
ERBB3	0.2260	-0.0787	-0.3297	-0.0633
FZD1	-0.7333	0.1338	-0.6318	-0.5902
PIK3R3	0.2669	0.1934	1.0082	2.9021
TFDP1	0.2532	-0.5765	-0.5142	-2.4973
SYK	-0.6417	0.5366	0.0424	-1.1462
EIF4EBP1	-0.3001	1.3805	0.8061	-0.3656
CCND3	-0.5884	-1.2627	-1.7158	-1.5599
PTPN6	0.2190	0.5700	0.7667	1.6758
DUSP4	-0.9305	0.4342	0.7712	1.5914
RB1	-0.2909	0.7764	-0.4549	0.3948
PARP1	1.1096	0.6814	0.6056	0.2228
CDK6	-0.0163	-0.1187	2.0634	1.4345
PSMB10	-0.2615	-0.2397	-0.3289	-1.7385
FOSL1	0.1927	0.1289	-0.5158	0.4850
E2F2	-1.2467	0.8768	2.4799	-0.9694
CRK	0.4788	0.0439	-0.2920	-2.5587
HSPA8	-0.3835	-1.8278	0.1159	-0.6670
CCNB1	0.0548	-1.4645	-0.6590	-0.7571
NFATC3	0.4906	1.1498	0.9943	0.1242
PCNA	-1.3376	-0.2504	-1.2276	-4.5026
PSMB8	-0.7178	-0.2564	-0.5336	1.4273
PRKCQ	-0.5862	0.5019	0.0590	-0.4412
SUV39H1	-0.0441	0.8546	1.0558	-3.1896
BIRC2	-0.7761	0.0434	0.0718	0.4487
PAK1	0.1971	1.8215	-0.1747	1.5766
CDC42	0.4614	1.7458	-0.0489	0.5742
CCNE2	0.7916	0.3834	-0.4779	-0.3121
SNAP25	0.6072	0.6102	-0.0582	-0.4044
PGAM1	1.0932	-5.8462	0.2306	0.0317
NCK1	-0.2109	-0.1777	0.8075	-0.9811
CD40	-0.2419	0.4601	-0.9607	0.3336
DAXX	0.1575	-0.0929	1.0003	0.1989
CDC20	0.5656	0.0971	0.5042	-0.5767
CCL2	0.0230	0.9784	0.1875	-0.2389
SRC	-0.0888	0.7419	-0.1948	1.1149
BMP4	0.9636	0.0378	-0.6583	0.3708
MNAT1	0.3466	0.2043	-0.3166	0.5982
TLR4	-0.6750	-0.4718	-0.7709	-0.5957
IKZF1	-2.3805	2.5118	-2.8469	0.4456
EPHA3	1.0651	0.4980	1.0285	0.0133
CASP10	-0.4889	0.9478	-0.3680	0.2606
CASP7	1.6909	0.5247	0.4966	0.7595
TGFBR2	-0.5730	0.4163	-0.2932	-0.4833
NOTCH1	0.4468	0.6603	2.2738	0.4673
SHC1	-0.4832	0.0649	-0.7883	1.1017
SIRT3	0.3049	0.1429	1.9712	0.2954
CYCS	-0.2069	-0.4309	-1.4613	-0.6941
GNAI1	-1.3405	1.3929	-0.1789	0.1327
FBXO11	0.4567	1.7722	-0.0744	-0.9876
MEF2C	-0.5701	0.3530	-0.0797	1.3946
DUSP3	0.0278	-1.3636	-0.3931	-0.5130
PPP1R13B	0.0481	-0.3273	-0.2987	1.0968
PRKCH	-0.1981	0.9768	0.0184	-0.1814
CCNA1	-0.5320	0.6745	0.5144	1.4451
BAX	0.3637	-0.7637	-1.7561	-0.2163
RPS5	0.0262	0.3897	0.4945	-0.2314
SNCA	0.7021	1.5864	0.9001	-0.1214
CHP	0.0039	1.4782	1.2975	-0.9503
SPP1	-1.2645	2.1753	2.9911	0.1220
AXIN1	0.3098	-0.1134	0.9013	-1.1290
CASP2	-0.3781	1.1122	-0.2784	-1.1114
FZD7	0.3046	0.0437	-0.0292	0.9020
DUSP6	0.2687	0.1549	-0.3003	0.2435
ADRB2	-0.0692	2.1892	2.2159	-0.1033
MMP1	0.5477	-0.1190	0.2870	-0.2310
CDC25B	0.6949	0.4676	0.9700	2.9693
EPHB2	-0.0184	1.5462	2.9031	1.4137
CHEK1	0.0741	-0.8190	-0.3207	0.2186
PDGFA	-0.1393	-1.0073	-0.5546	0.0131
CXCL2	-0.0135	2.6308	-0.6859	-0.7015
HLA-DRA	-0.1302	-0.1558	-0.3716	2.6816
GNA15	-0.4629	-0.2527	-0.4229	0.0742
RALGDS	-0.3799	-0.6957	0.9486	0.2016
SATB1	-0.1578	2.5978	2.0458	0.4407
PFKL	0.5757	0.7225	0.3981	-1.0335
GRB7	-0.2862	-0.7669	-0.2943	-0.9215
MAPKAPK2	-0.1232	-0.3328	0.3614	2.1212
MKNK1	0.3483	-0.1944	0.5258	0.6121
HSPA1A	0.1944	0.6157	-0.6177	0.2204
PLCB3	-0.0286	-0.0148	0.8019	2.9010
PLK1	0.5713	0.7148	-0.1465	-2.2724
MYLK	0.2505	1.5051	2.5444	0.2116
FGFR4	0.4756	0.7468	-0.0371	0.3483
CDKN2A	-1.7865	1.4876	0.0257	0.4352
CDKN1B	-0.2696	0.5517	0.1624	0.6182
GAPDH	0.1617	0.4689	0.3298	0.3793
CISD1	0.1183	0.3857	-1.1241	0.4525
SPDEF	0.1098	1.0894	0.1778	0.0947
IGF1R	0.7103	-1.1777	0.3971	-0.7082
GSTM2	0.2023	-0.3577	0.0515	0.1685
SPTLC2	0.7080	-0.0753	0.4411	-0.1333
TSKU	0.3737	-0.0115	2.6520	1.9725
TMEM2	0.2420	-0.6528	-0.3902	3.8785
SLC2A6	-0.7405	0.5291	0.3200	3.7212
EZH2	-0.2171	0.9333	-0.1293	-0.5297
ICAM3	0.1399	-0.1758	0.3409	-4.4739
PHKG2	0.0730	-0.7921	-1.0919	-2.0504
KDM5B	0.1410	0.2793	0.5087	3.9138
COG4	0.9012	-0.5929	0.7595	-0.6904
MCM3	0.2299	-3.1001	-0.5105	-1.7255
SNX13	-0.8652	0.0416	-1.1212	-0.3464
PAK4	0.2615	0.9827	0.7940	0.8803
DPH2	0.8460	1.3085	-0.1572	-3.3982
SNX6	0.2946	0.1605	0.4302	0.8170
WIPF2	0.6287	0.6425	0.9357	0.7903
NENF	-0.2958	0.2123	0.3466	1.0264
RPN1	0.1211	0.6144	0.1433	-0.2627
C2CD2L	0.1540	0.6184	-0.1583	-2.0492
GABPB1	0.4495	-0.1516	0.3923	-1.6165
POLR2K	0.1191	0.2795	-0.8554	-1.2730
PAF1	1.3593	-0.1476	-0.5784	-1.3603
POLR1C	-0.3899	0.3226	-0.6852	-1.0437
RUVBL1	0.0075	0.5161	-0.2518	-1.0929
AKT1	-0.3065	-0.1607	0.3512	-0.5947
SENP6	1.4130	-2.6605	0.7941	-1.6077
EBP	1.7264	-2.1425	0.2492	-0.2197
CASK	-0.2746	-0.1276	0.3797	0.0934
RRP8	6.4619	1.4748	2.5891	-2.3057
BHLHE40	0.0527	0.7396	-0.1983	1.2552
BDH1	0.2468	-1.0224	0.2358	-1.9651
SH3BP5	0.1972	-0.1433	-0.3260	-0.0059
PPP2R5A	0.0621	-0.9520	0.1901	-1.5277
EML3	-0.2714	1.4295	0.4129	2.6262
BIRC5	0.2352	-2.0757	-0.0404	-1.8902
EPRS	0.3731	-1.5954	1.1749	-0.4745
PAX8	0.2027	2.1631	1.3929	0.9009
PDS5A	0.9885	-3.4136	0.7030	0.0027
XBP1	-1.4405	-0.7192	-0.0074	-0.3036
NMT1	0.7836	0.1940	0.5118	0.4712
ARFIP2	0.2720	-1.2183	0.7029	-0.2139
STAMBP	-0.4155	-0.1815	0.3008	-0.3765
FAH	0.9581	-0.2140	-0.2268	-0.8456
PLP2	-0.4496	-0.2832	0.0123	-0.6583
SOX4	0.2318	-0.7963	0.8909	1.2235
TESK1	-0.5379	-0.7232	-0.9040	0.2353
HN1L	0.4695	-0.3508	-0.0793	0.3197
RRAGA	-0.6682	1.2436	0.0809	0.1733
ELOVL6	-0.7523	0.6826	-0.1075	2.6735
ACBD3	0.3541	0.9832	-0.2850	0.7409
PMAIP1	-0.6911	0.9382	1.4533	1.5542
TWF2	-0.2309	0.7767	0.4820	2.9512
HDAC6	-0.1763	-0.0049	0.4393	-0.0943
PXN	-0.4352	-0.1800	-0.4047	0.9456
PHKB	-0.2852	0.3350	1.0423	0.8199
CASC3	0.1266	1.5101	1.0192	-1.2740
MLEC	0.1833	-0.4382	0.8726	-0.6457
USP22	0.2602	0.4987	-0.3504	-1.1134
TMED10	0.9005	-0.9743	0.4483	1.0480
CHERP	0.1260	1.3955	0.7017	-1.5284
TRAPPC6A	-0.8309	1.0390	0.4485	0.0445
ATP2C1	-0.1557	0.8333	0.1561	0.7513
USP14	-0.0243	0.5887	-0.4437	-0.6713
APPBP2	-0.8730	0.5920	-0.3788	0.1464
ECH1	-0.1852	-1.0346	0.5964	2.6885
HDAC2	0.1868	0.0121	0.3944	0.7719
MRPL19	0.1401	-0.5925	-2.6928	-0.5780
CSNK2A2	-0.9315	0.3068	-0.5821	0.2181
KIAA0100	0.4731	0.5318	0.5366	-1.2822
PAICS	0.6345	0.6468	0.1753	-1.4763
CDK2	0.1317	0.0871	0.1794	-1.2670
KIAA0494	-0.2328	-0.0023	-0.8123	0.0055
WRB	0.2267	0.5014	-0.4756	1.2896
ETFB	0.7419	-1.3949	0.1683	-0.0037
CAMSAP2	-0.1770	-0.2837	-2.3422	-0.3401
ARNT2	0.0412	0.8063	-1.4472	-0.2681
SPAG7	0.3637	-1.0795	0.8017	-4.4426
MAPK1IP1L	-0.1028	0.4116	-0.7012	-0.5132
MSH6	1.0849	0.4107	1.5162	-0.2407
UBE2C	0.2864	1.1935	-0.1227	-1.4341
HS2ST1	0.0004	0.6151	-0.2735	-0.0718
TXLNA	0.1892	0.0112	-0.4165	-0.1454
DNAJB1	-0.7626	0.1367	-0.7527	0.8978
TOPBP1	0.4607	1.3573	-0.8396	-1.8908
ABCF1	-0.4784	1.2667	0.0256	0.1339
LGMN	0.8690	-0.3781	0.7766	1.1246
MBTPS1	0.2143	0.0618	0.3666	0.0608
ZNF274	0.2847	1.7874	-0.3619	0.2395
CLIC4	0.6032	-0.3222	-1.4723	-0.3268
HSD17B10	0.9377	-0.3122	-0.2802	-1.5614
STX1A	-0.2665	0.6177	1.5810	0.9702
CCNA2	0.1335	-0.0445	0.5786	-2.1444
SDHB	0.0083	-1.5557	-0.0356	-0.5592
FOXO4	-1.3221	1.3482	0.2548	7.8646
TOMM34	0.1069	1.2558	-0.0766	-0.5890
KIAA0907	-0.4463	-0.7878	-1.2223	-1.8921
HK1	-0.9925	-0.1163	0.2264	0.8472
PAPD7	0.2265	-0.0163	-0.2813	0.5793
PLOD3	0.7831	-0.3429	0.8897	-1.0120
TRAK2	-0.0120	-0.4026	0.0721	2.2731
VAPB	-0.2470	0.6177	-0.2922	-0.8811
BUB1B	-0.6212	0.3011	-0.4557	-0.2162
MRPL12	1.1244	0.1696	0.7921	-1.7834
PNP	0.7741	0.7191	-0.2476	1.1096
USP1	-0.0713	-0.0082	-0.7756	-2.4118
RPA1	0.1714	-0.3592	0.9952	-0.3977
KLHDC2	-1.0510	-0.1117	0.2806	-0.8121
SCARB1	-0.0929	0.5047	0.3921	1.1906
TPM1	-0.0246	-0.6284	-0.0240	-1.1151
TM9SF2	0.4791	-0.0432	0.1045	-0.1020
NUP88	0.1583	-0.3985	1.1092	-0.5660
FUT1	-0.4789	-0.0862	-0.4263	-0.3588
PRUNE	0.3810	0.1583	1.4312	0.6552
SYPL1	-0.2084	0.0194	-0.0042	-0.2043
ZNF451	-0.3660	1.8646	1.1338	0.3407
TRIM13	-0.0306	-0.0602	-0.3231	-0.2562
FBXO7	-0.1312	-0.4226	0.9493	0.0611
ENOSF1	-0.7827	0.4703	0.0218	-2.1313
LIG1	0.7853	-0.2865	0.7639	-3.6032
GNB5	-0.1813	0.8352	-0.0941	2.3020
INSIG1	-0.5307	0.4754	-0.4741	0.5681
HIST2H2BE	-0.5738	0.0889	-0.1889	0.3338
S100A4	-0.6910	1.2511	1.0187	1.9930
KTN1	-0.0295	0.5580	0.7221	0.8575
ARHGAP1	1.2560	0.3496	0.2456	-2.1036
LPAR2	-0.8065	-0.4296	0.0701	-0.6048
COASY	0.1914	0.4217	-0.2631	-1.3355
ATMIN	-0.3739	0.6990	-0.7963	-0.4758
CASP3	0.4244	-0.5163	0.3702	0.1131
NISCH	0.2241	1.3479	0.1912	-0.1844
CPSF4	0.0340	0.2148	0.2548	-0.4685
COPB2	0.0901	0.9681	0.7066	0.8883
GADD45A	-0.5057	0.5177	-0.0207	0.4945
SMNDC1	-0.6064	0.4826	-0.3594	-1.2044
NUDCD3	0.3997	-0.4165	0.7489	-1.2067
HMGCR	-1.3402	-0.8158	-0.4138	1.7977
SLC35B1	0.4768	-0.0021	0.5948	-2.3064
TIMP2	-0.2582	0.0697	-0.7592	0.9297
LSM6	-0.0429	0.3428	-0.5007	-1.4632
SACM1L	0.3314	0.1214	0.3086	-1.6376
TCERG1	0.4053	-0.0038	-0.3211	-1.9999
KIAA0196	0.3654	-0.2681	-0.0368	0.5393
DNM1	-0.4947	0.1179	0.5587	1.3119
DDIT4	-0.7218	-0.4688	1.9706	4.1857
ALAS1	0.0969	-0.6759	-0.1976	1.7185
PAFAH1B1	0.1993	-0.0926	-0.0426	0.8807
PSRC1	0.5143	0.4877	-0.2471	-0.4207
RBM15B	-0.0874	0.5576	-1.5169	-1.0061
TOMM70A	0.2795	0.0924	0.3705	0.2547
CBR1	0.3428	0.5028	0.5410	1.0114
PRKCD	0.5201	-0.4331	0.8314	0.3044
JUN	-0.8016	0.5486	-0.0604	0.5462
TMEM50A	-1.0841	0.3762	-1.0975	0.0395
SCCPDH	-0.4598	-0.1282	-0.1983	0.7569
TSC22D3	0.2831	-0.9215	2.4084	0.3710
TFAP2A	-0.5824	0.4953	-0.9059	-0.0834
ZNF395	-0.4408	-0.2539	-0.3667	-0.3074
VPS72	0.5321	0.0661	0.1562	0.5053
CLSTN1	-0.5181	-1.2698	-0.1574	0.7752
MAPK9	-1.5030	-0.5961	-0.5872	0.1852
POP4	0.1141	1.7355	-0.1194	-1.8347
NFE2L2	-0.1967	-0.2539	-0.1357	-0.6595
BLCAP	-0.1522	-0.5203	1.4465	-0.4681
FAM20B	-0.1209	0.6457	0.4705	-0.6957
CRKL	0.1605	0.7663	0.1472	0.3947
ZNF318	0.2849	1.0307	-1.9898	-1.1663
FDFT1	0.5967	-0.7248	-0.2958	1.6805
TRAP1	0.3733	0.6070	0.2962	-0.4285
GTF2A2	0.2702	0.1628	-0.3269	0.1983
MTFR1	-0.5292	1.1371	-0.4710	0.9445
UBE2A	-0.0877	-0.7322	0.1777	0.0530
NIT1	0.2417	0.5923	0.1777	1.4003
SYNGR3	0.0623	-0.0109	1.0548	5.1703
STK25	-0.6330	0.0632	0.4859	-0.0605
ABCF3	0.1976	0.1951	-0.3326	-1.3433
FCHO1	0.6874	0.7110	-0.5118	0.3457
OXSR1	-0.3766	0.2997	0.4091	-1.2484
SMARCC1	0.4649	0.7015	-0.0752	-0.1996
GLOD4	0.3232	0.1784	-0.3484	-1.4625
IL4R	-0.0470	-1.0705	0.4439	1.2487
KIT	0.2030	0.3562	0.5180	0.4782
PSMG1	0.2325	0.4089	-0.6039	-1.9764
TMEM97	0.0999	-0.2811	0.6033	-0.6061
LRRC41	-0.3489	0.2160	-0.1375	0.7610
KIAA1279	0.6064	-0.9534	-0.5145	-1.0268
TCEAL4	-0.3398	0.3219	-0.8498	-0.9879
NUP133	0.3720	0.2842	-0.0497	-1.1023
NUP62	0.5353	-0.0329	0.0128	-1.4475
MALT1	0.1457	1.9465	-0.2613	-1.2070
YKT6	0.3827	0.4123	0.8057	-1.0704
KIF2C	-0.0423	-0.1291	0.1475	-0.6149
NNT	-0.0204	0.7242	0.5858	1.1577
IQGAP1	-0.2864	2.2096	-0.2756	-0.0712
HSPA4	-0.3920	0.3343	-1.1177	-0.6315
TOP2A	-0.3101	0.2285	-0.3497	-0.9011
B3GNT1	1.1466	-0.0396	0.3840	-1.6604
SCP2	0.0370	0.9330	0.8579	-0.4364
RAD9A	0.7290	1.3698	0.1205	-0.2756
DRAP1	-0.3325	-0.4808	0.5858	-0.6345
PCMT1	0.3462	-1.1380	-0.2893	-0.3241
MYC	-0.8771	-0.3937	0.7944	-0.3737
POLB	-0.6466	0.0273	0.1557	-0.6799
CETN3	-0.1326	0.3413	-0.7347	-0.8526
SMC4	0.3238	0.4440	-0.5952	-0.8626
SMARCD2	-0.0899	1.4185	0.8881	-0.8369
MPZL1	0.0583	-0.0636	-0.1476	-0.2913
EBNA1BP2	0.0356	-0.1873	-0.8997	-1.7887
TATDN2	0.4177	-0.1474	-0.1831	-2.1221
LRPAP1	-0.1505	-0.1585	0.3176	-1.3225
TBPL1	-0.5292	1.7351	-1.1687	1.2673
RAE1	-0.2712	0.6613	-0.6080	-1.1292
CDK1	-0.2076	0.1722	-0.3602	0.2301
SLC35A1	-0.4176	0.8282	0.7933	2.6433
NIPSNAP1	-0.0733	-0.2581	0.4681	1.0182
BCL7B	-0.4959	1.9624	0.5627	-2.4316
TIMELESS	0.1874	0.4168	0.7711	-2.1617
DHX29	0.5183	1.0364	0.4447	-0.3384
TCEA2	0.0381	0.7876	0.6464	3.4585
FHL2	-0.3489	-2.6904	0.1532	0.6742
FKBP4	-0.7246	0.2811	-1.6407	-0.9054
KAT6A	-0.0728	-1.0481	1.3173	-0.8381
MAP3K4	0.2854	-1.4571	0.7591	-0.6998
ZFP36	0.1470	-0.5534	-0.6286	0.3846
INPP1	-0.4115	1.1027	-0.0528	0.5086
EPB41L2	-0.0717	1.4764	-0.2288	0.5950
GNAI2	0.6232	0.9464	-0.1205	0.4231
TSTA3	-0.0218	0.4531	0.2001	-1.1875
DNMT1	-0.3832	0.3268	-0.1294	-1.0545
RAB27A	-0.3628	0.8486	-0.5038	-0.1752
DDR1	0.2897	0.2706	0.7030	1.4801
LPGAT1	-0.7283	1.0254	0.7970	1.9787
DUSP11	-0.7368	-0.1448	-0.6661	0.3421
TP53BP2	0.8922	0.6855	0.6572	0.3203
CDKN1A	0.6176	-0.0764	-0.6524	3.2208
TJP1	0.2718	2.9746	-0.1727	-1.2171
ABCB6	0.6142	-3.0864	0.2158	-0.7606
MTHFD2	-0.2069	-0.9087	0.5657	-0.8155
PRAF2	0.0994	0.0694	1.5495	1.9799
DNTTIP2	-0.3231	0.4487	0.5276	1.4756
HTATSF1	0.2916	-0.7636	-0.2008	-0.8532
NCAPD2	-0.0126	0.4581	-0.3577	-0.0059
TMEM109	0.5172	0.1251	1.7062	-0.9203
NUP93	0.4581	-0.0385	-0.8437	-1.0177
PLA2G15	-0.0568	0.2125	0.8109	0.5053
PIP4K2B	0.5066	-0.6176	1.1935	-0.9584
MYCBP2	-0.1269	-0.0540	-0.1723	0.0384
PGRMC1	0.7694	-0.7066	0.4031	0.5530
AARS	1.1989	-0.9407	0.7904	-0.3226
GPC1	0.0937	-0.0051	-1.2146	-1.9106
ELAC2	0.4140	-0.1565	-0.2439	-1.4520
PLSCR1	-0.3573	0.5258	-0.7328	-1.0821
CTSL1	-0.3187	-2.2857	0.8589	3.8625
CTSD	-0.3914	0.0625	0.6486	1.3036
ARHGEF2	0.0503	1.0287	0.6640	1.3939
ILK	-0.0601	-0.6148	-0.2324	0.2788
NFIL3	-0.5413	0.4823	0.6553	4.9168
ARL4C	-0.4848	0.1265	-0.1231	0.3423
CPNE3	-0.1998	0.0786	-0.8502	-1.8200
SCRN1	-0.4373	1.0331	-1.3897	-0.4517
MAN2B1	0.2797	-0.4658	0.0046	-0.2370
DCTD	0.0957	0.5435	0.4506	-1.0851
MBNL1	0.8028	-0.0328	-0.9901	-1.4009
MYCBP	0.3027	0.4444	0.4823	-2.4596
PTPN1	0.6926	0.2198	-0.5861	-0.0149
BRP44	0.1720	0.7733	0.7539	1.4289
ECD	0.2658	-0.4704	-0.0344	0.0503
CIRBP	0.1658	1.0573	0.1606	-0.4945
PRSS23	0.1274	-1.1575	0.1984	1.8090
P4HA2	-0.4297	0.5558	0.3502	2.9418
ATP6V0B	-0.6658	-0.2335	-1.0138	-1.0823
CAPN1	0.8685	-0.3650	0.3220	-0.0350
STXBP1	-0.0039	0.1379	0.7119	3.6729
ITGB5	0.1898	-1.0113	0.4086	0.3780
SLC11A2	-1.1608	1.5818	1.0678	5.2350
PDIA5	1.0067	0.1114	0.2602	0.4645
RAP1GAP	-0.6608	0.0972	0.5143	1.3765
NOLC1	0.3313	-1.4176	-0.4309	-2.1222
CAT	0.1857	0.5989	0.0213	0.9113
DUSP14	0.1032	-0.0076	0.8729	-0.0076
TRIB1	-0.0524	0.4352	-0.2015	0.3125
TP53BP1	0.0300	-0.3624	-0.0972	0.5372
BECN1	-0.2669	-0.4454	0.6749	-0.8509
KDELR2	0.1270	0.5184	0.5314	-0.1170
ELAVL1	0.6963	1.0101	0.1223	-0.6000
IGF2R	-0.4049	0.4162	-0.2070	0.9266
TIPARP	-0.0286	-0.1107	0.3797	0.9313
CRTAP	-0.2712	0.1727	0.6564	-1.7526
GMNN	-0.8075	0.2265	-1.1762	-1.4903
CYTH1	-0.2027	1.8705	-0.1133	1.7414
PRCP	0.2529	0.2416	0.3558	0.7698
SMARCA4	0.3410	0.7711	0.1660	-0.3137
PYGL	0.4060	-0.7707	0.1696	4.2329
RPA2	-0.0520	-0.0513	0.0540	-0.9049
GTF2E2	-0.5634	1.4245	-0.1040	0.7121
ANXA7	-0.6349	0.8771	-2.5645	-0.6704
TXNRD1	-0.5031	0.0269	-0.2920	1.4850
CRYZ	0.0096	-0.0743	-0.8356	-0.2529
GAA	-0.1324	-0.1739	0.1472	0.3560
SKIV2L	-0.0093	-0.4444	0.2043	-0.0269
BLMH	0.7930	0.8584	-0.1331	0.0350
RRP1B	0.0122	-0.2698	-0.3205	-1.6594
